.wwp,Developer
.ss,Developer
.cur,System
.ani,System
.dvd,System
.dat,System
.lnk,System
.dll,System
.nfo,System
.prop,System
.bin,System
.cab,System
.cpl,System
.deskthemepack,System
.dmp,System
.drv,System
.icns,System
.sys,System
.cat,System
.hlp,System
.icl,System
.bud,System
.dev,System
.ffl,System
.ffo,System
.pol,System
.ion,System
.pnf,System
.dit,System
.htt,System
.nb0,System
.mlc,System
.bash_history,System
.ebd,System
.fota,System
.reg,System
.bashrc,System
.hiv,System
.bash_profile,System
.nt,System
.qvm,System
.iconpackage,System
.iptheme,System
.pck,System
.hdmp,System
.mdmp,System
.sdt,System
.dif,Data
.vcf,Data
.itl,Data
.one,Data
.ged,Data
.keychain,Data
.sdf,Data
.tax2014,Data
.efx,Data
.clp,Data
.gbr,Data
.tax2012,Data
.mtw,Data
.gms,Data
.ip,Data
.tax2016,Data
.quickendata,Data
.adt,Data
.cma,Data
.fcpevent,Data
.flo,Data
.gcw,Data
.i5z,Data
.qb2011,Data
.vcs,Data
.cel,Data
.aae,Data
.nfs,Data
.nfi,Data
.xmind,Data
.bok,Data
.tax,Data
.ova,Data
.ovf,Data
.rte,Data
.rvt,Data
.scr,Executables
.exe,Executables
.ipa,Executables
.app,Executables
.bat,Executables
.cgi,Executables
.com,Executables
.gadget,Executables
.pif,Executables
.vb,Executables
.wsf,Executables
.cmd,Executables
.ds,Executables
.air,Executables
.mdi,Page Layout
.indd,Page Layout
.p65,Page Layout
.qxd,Page Layout
.dtp,Page Layout
.rels,Page Layout
.caj,Page Layout
.eddx,Page Layout
.lbl,Page Layout
.act,Settings
.inf,Settings
.ini,Settings
.cfg,Settings
.pkg,Settings
.cdt,Settings
.icm,Settings
.gid,Settings
.api,Settings
.dun,Settings
.ht,Settings
.prf,Settings
.fm3,Settings
.rdf,Settings
.asw,Settings
.mind,Settings
.tscproj,Settings
